id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,host_since_days(how many days since home is as airbnb),first_reviewed(how many days between first review to last scraped date),last_reviewed(how many days between last review to last scraped date)
3686,3,0.75,1,0,2,2,1,1,38.86177,-76.98966,Private room in house,Private room,1,1,1,1.740362689,2,365,2,2,365,365,2,365,1,8,31,61,336,73,2,0,92,9,9,10,10,8,9,0,2,0,2,0,0.6,4350,3645,35
3943,2,1,0.25,0,0,0,1,1,38.91066,-77.00438,Private room in townhouse,Private room,2,1,1,1.903089987,27,1125,27,27,1125,1125,27,1125,1,10,40,50,50,429,0,0,96,10,10,10,10,9,9,0,2,0,2,0,3.07,4334,4185,809
4197,1.575428333,0.917160468,0.96,1,2,2,1,1,38.88791,-76.99668,Private room in house,Private room,2,1,1,1.875061263,28,365,28,28,1125,1125,28,1125,1,0,0,0,0,45,3,0,97,10,10,10,10,10,10,0,2,0,2,0,0.32,4334,4181,224
4529,1.575428333,0.917160468,1,0,2,2,1,1,38.90645,-76.94305,Private room in house,Private room,4,1,1,1.73239376,30,180,30,30,180,180,30,180,1,29,59,89,179,102,0,0,93,10,9,10,10,9,10,0,1,0,1,0,0.75,4316,4095,477
4967,2,1,0.33,1,5,5,1,1,38.91409,-76.99368,Private room in house,Private room,1,1,1,1.995635195,2,365,2,2,365,365,2,365,1,0,0,0,115,31,0,0,95,9,10,10,10,8,9,0,3,0,3,0,0.26,4289,3642,1493
5589,1,1,0.88,1,4,4,1,1,38.91933,-77.04124,Entire apartment,Entire home/apt,3,1,1,1.799340549,14,100,14,14,100,100,14,100,1,22,52,82,134,95,4,0,91,10,8,10,10,10,9,0,2,1,1,0,0.7,4302,4050,233
7103,1,0.96,0.97,0,37,37,1,1,38.91988,-77.09796,Entire guest suite,Entire home/apt,2,1,2,1.995635195,3,365,3,5,365,365,3.2,365,1,0,0,0,0,90,44,0,97,10,10,10,10,10,10,1,35,35,0,0,5.12,4177,526,116
9097,1,1,0.88,1,4,4,1,1,38.91966,-77.04306,Private room in apartment,Private room,1,1,0,1.62324929,2,7,2,2,1125,1125,2,1125,1,0,23,53,53,112,1,0,97,10,9,10,10,10,10,0,2,1,1,0,0.84,4302,4017,360
9641,3,0.9,0.63,1,4,4,1,1,38.91146,-77.03636,Entire loft,Entire home/apt,4,1,2,2.267171728,2,180,2,2,180,180,2,180,1,23,53,83,83,154,3,1,95,10,10,10,10,10,9,0,2,1,0,1,1.19,4086,3869,19
11785,1,1,1,0,4,4,1,1,38.92828,-77.07638,Entire apartment,Entire home/apt,4,1,3,2,1,365,1,2,365,365,1,365,1,0,3,33,308,391,21,0,92,9,9,10,10,10,9,0,4,1,3,0,2.98,4087,3938,74
12442,1,1,1,0,4,4,1,1,38.92744,-77.07496,Private room in house,Private room,2,1,1,1.838849091,1,365,1,1,365,365,1,365,1,30,60,90,365,94,5,0,93,9,9,10,10,10,9,1,4,1,3,0,0.73,4087,3879,69
13744,3,1,1,0,1,1,1,1,38.92836,-77.03136,Entire apartment,Entire home/apt,4,1,2,2,30,90,30,30,1125,1125,30,1125,1,0,22,52,327,25,2,0,98,10,10,10,10,10,10,0,1,1,0,0,0.19,3998,3849,251
14218,1,1,1,0,4,4,1,1,38.927,-77.07645,Private room in house,Private room,2,1,1,1.838849091,1,365,1,1,365,365,1,365,1,0,0,0,0,100,3,0,94,10,9,10,10,10,10,1,4,1,3,0,1.51,4087,1985,65
